Başlık,Fiyat,Şehir,İlçe,Mahalle,Konut Tipi,Oda Sayısı,Banyo Sayısı,Kat,Kat Sayısı,Bina Yaşı,Isınma Tipi,Eşya Durumu,Yapı Tipi,Yapının Durumu,Aidat,Depozito,Yakıt Tipi,Link,Brüt m2,Net m2,Konut Tipi Encoded,İlçe Encoded,Mahalle Encoded,Isınma Tipi Encoded,Yakıt Tipi Encoded,Yapı Tipi Encoded,Yapının Durumu Encoded,Cephe_Kuzey,Cephe_Güney,Cephe_Doğu,Cephe_Batı,Cephe_Bilinmiyor
EŞYALI MERKEZİ FULL YAPILI 2+1,25000,0,Fatih,Şehremini Mah.,Daire,3,1,1.0,3.0,30,Kombi,0,Betonarme,İkinci El,1750,37500,Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-sehremini-kiralik/daire/117866-149,80,75,0,22015.514588859416,21000.0,5,1,0,2,0,0,0,0,1
NUSRET EMLAKTAN KİRALIK DAİRE YENİBOSNA FEVZİÇAKMAK MAHALLESİ KOÇTAŞA ÇOK YAKIN,15000,0,Bahçelievler,Fevzi Çakmak Mah.,Daire,3,1,3.0,4.0,35,Kombi,0,Betonarme,İkinci El,100,15000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bahcelievler-fevzi-cakmak-kiralik/daire/130762-90,90,70,0,30662.31279620853,26654.310344827587,5,1,0,2,0,0,0,0,1
NUSRET EMLAKTAN 42 EVLERDE KİRALIK DAİRE,15000,0,Bağcılar,100. Yıl Mah.,Daire,3,1,3.0,3.0,18,Kombi,0,Betonarme,İkinci El,100,15000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bagcilar-100-yil-kiralik/daire/130762-81,90,70,0,22996.178343949046,19357.14285714286,5,1,0,2,1,0,0,1,0
SANAYİ MH. DE METROYA YAKIN YENİ BİNADA KİRALIK 1+1 GENİŞ FORMAT DAİRE,25000,0,Kağıthane,Sultan Selim Mah.,Daire,2,1,-1.0,5.0,9,Kombi,0,Betonarme,İkinci El,1750,37500,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-sultan-selim-kiralik/daire/22569-2180,60,52,0,44238.3578125,25497.297297297297,5,1,0,2,1,1,0,1,0
"Ortabayır’da Kiralık 2+1 Çatı Katı – Teraslı, Amerikan Mutfaklı, Merkezi Konum",22000,0,Kağıthane,Ortabayır Mah.,Daire,3,1,3.0,5.0,10,Kombi,0,Betonarme,İkinci El,100,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/65917-736,70,67,0,44238.3578125,29739.130434782608,5,1,0,2,0,0,0,0,1
KÜÇÜKBAKKALKÖY ATAŞEHİRDE 1+1 KİRALIK DAİRE,21000,0,Ataşehir,İnönü Mah.,Daire,2,1,0.5,3.0,10,Kombi,0,Betonarme,İkinci El,1470,21000,Doğalgaz,https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/51556-4143,50,40,0,37048.9847715736,28136.021505376346,5,1,0,2,0,1,1,1,0
ŞİŞLİ MECDİYEKÖY ESKİ PROFİLO AVM YANI 2+1 FULL EŞYALI KİRALIK 27 000tl,27000,0,Şişli,Gülbahar Mah.,Daire,3,1,8.0,8.0,25,Kombi,1,Betonarme,İkinci El,350,40500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/35783-15215,92,85,0,59910.485869565215,24218.3908045977,5,1,0,2,0,0,1,1,0
Gülbahar Mahallesi 1+1 GENÇ BİNA AYDINLIK GİRİŞ ALTI 11000,11000,0,Şişli,Gülbahar Mah.,Daire,2,1,-0.5,5.0,12,Kombi,0,Betonarme,İkinci El,150,12000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/35783-15242,60,48,0,59910.485869565215,24218.3908045977,5,1,0,2,0,0,1,1,0
SEYRANTEPE METROSUNA YÜRÜME MESAFESİNDE,20000,0,Kağıthane,Seyrantepe Mah.,Daire,3,1,0.0,4.0,10,Kombi,0,Betonarme,İkinci El,1400,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/137813-324,90,75,0,44238.3578125,32192.98245614035,5,1,0,2,0,1,0,0,0
FATİH KİRALIK DAİRE EŞYALI 1+1 KOCAMUSTAFAPAŞA BESTEKAR HAKKI SK,16000,0,Fatih,Koca Mustafapaşa Mah.,Daire,2,1,-3.0,4.0,30,Kombi,1,Betonarme,İkinci El,1120,16000,Elektrik,https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-kiralik/daire/153157-3,55,40,0,22015.514588859416,19073.170731707316,5,2,0,2,0,0,0,0,1
1+1 KİRALİK AYRI MUTFAKLI TEMİZ BAKIMLI,13500,0,Şişli,Gülbahar Mah.,Daire,2,1,-3.0,9.0,25,Kombi,0,Betonarme,İkinci El,300,13500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/155286-32,60,50,0,59910.485869565215,24218.3908045977,5,1,0,2,1,0,1,0,0
TERTEMİZ ARAKAT YENİ BİNA 2+1,13000,0,Esenyurt,Fatih Mah.,Daire,3,1,2.0,5.0,9,Kombi,0,Betonarme,İkinci El,150,13000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-fatih-kiralik/daire/155286-3,90,75,0,20686.823529411766,22742.25352112676,5,1,0,2,0,1,0,0,0
GÜNYÜZÜ’NDE FLORYA'DA BAHÇE KULLANIMLI 160 M2 3.5+1 DÜZ GİRİŞ KİRALIK DAİRE,57000,0,Bakırköy,Şenlikköy Mah.,Daire,4,1,0.0,3.0,26,Merkezi,0,Betonarme,İkinci El,1200,120000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/4753-17408,165,160,0,157770.20547945207,247655.92105263157,6,1,0,2,0,1,1,1,0
Berk emlakran harbiye de 1+1 daire. Terasli dir,19000,0,Şişli,Cumhuriyet Mah.,Daire,2,1,3.0,3.0,20,Soba,0,Betonarme,İkinci El,1330,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/daire/49933-3018,60,55,0,59910.485869565215,38040.54054054054,7,1,0,2,0,0,0,0,1
TAŞPINAR EMLAKTAN DR CEMİL BENGÜ CD ÜZERİ ASANSÖRLÜ 1+1 1.KAT,22000,0,Kağıthane,Hürriyet Mah.,Daire,2,1,1.0,5.0,10,Kombi,0,Betonarme,İkinci El,1540,22000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-hurriyet-kiralik/daire/51506-3524,70,60,0,44238.3578125,25219.23076923077,5,1,0,2,0,1,0,1,0
YUVAM BAHÇEŞEHİRDE 95M 2+1 BOYALI KAPALI MUTFAK KİRALIK DAİRE,25000,0,Başakşehir,Bahçeşehir 2. Kısım Mah.,Daire,3,1,6.0,13.0,1,Merkezi,0,Betonarme,İkinci El,2200,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/18249-1476,95,70,0,36569.34306569343,50644.73684210526,6,1,0,2,0,1,0,0,0
Bahçelievler k.has arkası YENİ SIFIR metro m.büse yürüme 4-5 dk 90m2 bürüt 2.kat güney cephe.,50000,0,Bahçelievler,Bahçelievler Mah.,Daire,3,1,-2.0,4.0,1,Kombi,0,Betonarme,Sıfır,250,80000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/2820-723,90,80,0,30662.31279620853,49116.438356164384,5,1,0,1,0,1,0,1,0
NOKTA'DAN KUMKÖY'DE SİTE İÇİNDE TAM MÜSTAKİL FULL EŞYALI 4+1,85000,0,Sarıyer,Kumköy Mah.,Villa,5,3,1.0,3.0,10,Kombi,1,Betonarme,İkinci El,5000,170000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-kumkoy-kiralik/villa/81759-2436,240,200,3,110185.8286163522,175476.19047619047,5,1,0,2,0,1,1,1,0
NOKTA'DAN ZEKERİYAKÖY ÇARŞIYA YÜRÜME MESAFESİNDE 2+1 DUBLEKS,80000,0,Sarıyer,Zekeriyaköy Mah.,Villa,3,2,1.0,2.0,11,Merkezi,0,Betonarme,İkinci El,3500,160000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/villa/81759-2570,140,120,3,110185.8286163522,143654.7619047619,6,1,0,2,0,1,1,1,0
NOKTA’DAN FULYA AKIN ÖZYUVAM SİTESİNDE BOŞ 3+1 DAİRE,65000,0,Şişli,Fulya Mah.,Daire,4,2,2.0,6.0,31,Merkezi,0,Betonarme,İkinci El,4550,130000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/daire/81759-2547,140,130,0,59910.485869565215,64472.51648351648,6,1,0,2,1,0,1,1,0
19 MAYISTA 2+3 DUBLEKS KOM. 150 M.NET TERASLI METROYA CEVAHİR AVM.ÇOK YAKIN,45000,0,Şişli,19 Mayıs Mah.,Daire,5,2,6.0,6.0,33,Kombi,0,Betonarme,İkinci El,300,45000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/8574-2183,180,160,0,59910.485869565215,49790.47619047619,5,1,0,2,0,1,0,0,0
BAHÇEŞEHİR'DE 90 m2 AKKOZA KORU BLOKLARINDA EŞYALI 2+1,20000,0,Esenyurt,Koza Mah.,Daire,3,1,5.0,9.0,11,Merkezi,0,Betonarme,İkinci El,1400,35000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-koza-kiralik/daire/45495-3030,110,90,0,20686.823529411766,22543.333333333332,6,1,0,2,0,1,1,0,0
ATATÜRK MH TERASLI MERKEZİ KONUM 4. KAT 2+1 KİRALIK DAİRE,15000,0,Esenyurt,Atatürk Mah.,Daire,3,1,5.0,5.0,4,Kombi,0,Betonarme,İkinci El,1050,15000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-ataturk-kiralik/daire/143827-88,100,90,0,20686.823529411766,46682.31707317073,5,1,0,2,0,1,1,0,0
Göksu Evleri Kiralık 3+1,48000,0,Beykoz,Göztepe Mah.,Daire,4,1,0.5,5.0,33,Kombi,0,Betonarme,İkinci El,2600,80000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beykoz-goztepe-kiralik/daire/91281-115,143,120,0,80924.95317725753,57543.47826086957,5,1,0,2,1,0,0,1,0
KÜÇÜKYALI ESKİ BAĞDAT CADDESİ'NDE 2+1 42.500 TL,42500,0,Maltepe,Küçükyalı Mah.,Daire,3,1,-1.0,4.0,5,Kombi,0,Betonarme,İkinci El,1000,63750,Doğalgaz,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-kiralik/daire/17370-1170,80,60,0,36607.416267942586,43227.27272727273,5,1,0,2,0,0,0,0,1
Torun Center Kiralık full eşyalı rezidans daire,100000,0,Şişli,Fulya Mah.,Residence,3,2,7.0,30.0,10,Merkezi,1,Betonarme,İkinci El,7000,100000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/residence/139102-86,145,110,2,59910.485869565215,64472.51648351648,6,1,0,2,1,1,1,0,0
SURURİ MEHMET EFENDİ MAH. 1+1 EŞYALI DAİRE,25000,0,Beyoğlu,Sururi Mehmet Efendi Mah.,Daire,2,1,0.5,3.0,32,Kombi,1,Diğer,İkinci El,1750,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-sururi-mehmet-efendi-kiralik/daire/132042-70,85,70,0,46264.72451790634,21500.0,5,1,1,2,0,0,0,0,1
SİTE İÇİ METROBÜSE 10 DAKİKA YÜRÜME MESAFESİNDE STUDİO DAİRE,9000,0,Esenyurt,Barbaros Hayrettin Paşa Mah.,Daire,1,1,9.0,12.0,7,Isıtma Yok,0,Betonarme,İkinci El,1900,9000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/154763-5,47,30,0,20686.823529411766,19442.30769230769,2,1,0,2,0,0,1,0,0
MARİ E-5 REZİDANS KİRALIK 11.KAT MANZARALI KÖŞE DAİRE FIRSAT!,43000,0,Kağıthane,Talatpaşa Mah.,Daire,3,1,11.0,13.0,3,Merkezi,0,Betonarme,Sıfır,3010,45000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-talatpasa-kiralik/daire/154642-6,100,55,0,44238.3578125,23142.85714285714,6,1,0,1,0,1,1,0,0
İSMETPAŞA MAH TRAMVAYA YAKIN 2+1 95M BALKONLU BAHÇE KAT DAİRE,13000,0,Sultangazi,İsmetpaşa Mah.,Daire,3,2,-1.0,5.0,18,Kombi,0,Betonarme,İkinci El,50,13000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sultangazi-ismetpasa-kiralik/daire/155936-80,100,95,0,19985.185185185186,19600.0,5,1,0,2,0,0,0,0,1
Ortaköy Mecidiyede masrafsız 2+1 kiralık daire !,30000,0,Beşiktaş,Mecidiye Mah.,Daire,3,1,3.0,5.0,55,Kombi,0,Betonarme,İkinci El,100,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/21867-2672,70,65,0,145577.30544993663,38944.40740740741,5,1,0,2,0,1,1,0,0
Yay Meydanı Caddesi'ne 50m Mesafede Yeni Binada Full Eşyalı Geniş Teraslı 2+1 Kiralık Daire,35000,0,Şişli,Yayla Mah.,Daire,3,1,0.0,5.0,5,Kombi,1,Betonarme,İkinci El,2450,52500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-yayla-kiralik/daire/25165-5807,100,90,0,59910.485869565215,31769.96,5,1,0,2,0,1,0,0,0
Full eşyalı Temiz 2+1,22000,0,Fatih,Silivrikapı Mah.,Daire,3,1,2.0,5.0,40,Kombi,1,Betonarme,İkinci El,100,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-silivrikapi-kiralik/daire/123891-263,75,65,0,22015.514588859416,19208.333333333332,5,1,0,2,0,0,0,0,1
Taksim 360'ın Arkası 1+1 EŞYALI daire,25000,0,Beyoğlu,Bülbül Mah.,Daire,2,1,0.5,2.0,25,Kombi,1,Diğer,İkinci El,200,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-bulbul-kiralik/daire/132042-68,65,60,0,46264.72451790634,65800.0,5,1,1,2,0,0,0,0,1
ÇEKMEKÖY GÜNGÖREN MAH KİRALIK 3+1 120M2 ARAKAT DAİRE CADDEYE YAKIN,30000,0,Çekmeköy,Güngören Mah.,Daire,4,2,2.0,6.0,10,Kombi,0,Betonarme,İkinci El,2100,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/daire/145024-94,120,105,0,42188.88888888889,67200.0,5,1,0,2,0,1,0,0,0
Çekmeköy Ekşioğlu Mahallesi – Kiralık 2+1 Full Eşyalı Ara Kat Daire!,26500,0,Çekmeköy,Ekşioğlu Mah.,Daire,3,1,2.0,5.0,8,Merkezi,1,Betonarme,İkinci El,2100,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-eksioglu-kiralik/daire/145024-97,70,60,0,42188.88888888889,25500.0,6,1,0,2,0,0,0,0,1
Çekmeköy Soğukpınar Mah Kiralık 2+1 70m2 Yüksek Giriş Daire,19500,0,Çekmeköy,Soğukpınar Mah.,Daire,3,1,0.5,5.0,0,Kombi,0,Betonarme,Sıfır,250,19500,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-sogukpinar-kiralik/daire/145024-98,70,60,0,42188.88888888889,20500.0,5,1,0,1,0,1,0,0,0
KİRALIK EŞYALI DAİRE,18000,0,Esenyurt,Bağlarçeşme Mah.,Daire,3,1,1.0,6.0,5,Kombi,1,Betonarme,İkinci El,250,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-kiralik/daire/134074-181,110,100,0,20686.823529411766,20333.333333333332,5,1,0,2,0,1,0,0,0
BOSTANCIDA DENİZ MANZARALI 3+1 KİRALIK DAİRE,50000,0,Kadıköy,Bostancı Mah.,Daire,4,2,9.0,10.0,35,Kombi,0,Betonarme,İkinci El,2500,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-kiralik/daire/51556-4145,130,110,0,66851.20439560439,69111.11111111111,5,1,0,2,0,1,1,1,0
İDEALTEPEDE 3+1 KİRALIK DAİRE 50.YIL PARKINA KOMŞU,55000,0,Maltepe,Cevizli Mah.,Daire,4,2,2.0,4.0,10,Kombi,0,Betonarme,İkinci El,750,55000,Doğalgaz,https://www.hepsiemlak.com/istanbul-maltepe-cevizli-kiralik/daire/51556-4144,135,120,0,36607.416267942586,37020.833333333336,5,1,0,2,0,1,1,1,0
KİRALIK DAİRE,18500,0,Arnavutköy,Hicret Mah.,Daire,3,1,3.0,3.0,5,Kombi,0,Betonarme,İkinci El,200,18500,Doğalgaz,https://www.hepsiemlak.com/istanbul-arnavutkoy-hicret-kiralik/daire/144620-25,90,80,0,32852.5,14500.0,5,1,0,2,0,1,0,0,0
TARABYAÜSTÜ BAHÇELİ BAKIMLI KURUMSAL ÇALIŞANA 3+1 KİRALIK DAİRE,40000,0,Sarıyer,Kireçburnu Mah.,Daire,4,1,-1.0,4.0,2,Kombi,0,Betonarme,İkinci El,2800,40000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-kirecburnu-kiralik/daire/1994-3211,130,120,0,110185.8286163522,74210.0,5,1,0,2,1,1,1,1,0
SİEM’den ADNAN KAHVECİ AHENK SİTESİ 1+1 KİRALIK DAİRE!,20000,0,Beylikdüzü,Adnan Kahveci Mah.,Daire,2,1,0.5,6.0,10,Merkezi,0,Betonarme,İkinci El,1400,44000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-kiralik/daire/137998-122,80,65,0,40480.59071729958,29647.058823529413,6,1,0,2,1,0,1,1,0
BOMONTİ SİLAHŞÖR CADDESİ ÜZERİNDE 5. KAT ASANSÖRLÜ KOMBİLİ 2 ODA 1 SALON 140 METREKARE KİRALIK DAİRE,45000,0,Şişli,Merkez Mah.,Daire,3,1,5.0,5.0,26,Kombi,0,Betonarme,İkinci El,500,45000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/daire/47693-1585,150,140,0,59910.485869565215,68711.29707112971,5,1,0,2,0,1,0,0,0
FERACE SOKAK'TA 2 ODA 1 SALON KOMBİLİ VE ASANSÖRLÜ DÖRDÜNCÜ KAT OTURUMA HAZIR KİRALIK DAİRE,32000,0,Şişli,Paşa Mah.,Daire,3,1,4.0,5.0,24,Kombi,0,Betonarme,İkinci El,250,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-pasa-kiralik/daire/47693-1582,100,90,0,59910.485869565215,25309.52380952381,5,1,0,2,0,1,0,0,0
SANCAKTEPE İNÖNÜ MAH. AÇIK OTOPARKLI 3+1 DUBLEKS KİRALIK DAİRE,25000,0,Sancaktepe,İnönü Mah.,Daire,4,2,4.0,4.0,9,Kombi,0,Betonarme,İkinci El,1750,26000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sancaktepe-inonu-kiralik/daire/91054-605,130,110,0,28121.186440677968,28136.021505376346,5,1,0,2,0,0,0,0,1
ÇEKMEKÖY ZİN D ZER REZİDANS 2+1 KİRALIK DAİRE,28000,0,Çekmeköy,Güngören Mah.,Residence,3,1,2.0,10.0,4,Merkezi,0,Betonarme,İkinci El,4700,29500,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/residence/91054-604,85,75,2,42188.88888888889,67200.0,6,1,0,2,0,1,0,0,0
Çekmeköy merkezi konumda açık otoparklı butik bina 2+1 kiralık daire,25000,0,Çekmeköy,Sultançiftliği Mah.,Daire,3,2,4.0,4.0,12,Kombi,0,Betonarme,İkinci El,1750,25500,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-sultanciftligi-kiralik/daire/91054-616,95,85,0,42188.88888888889,29700.0,5,1,0,2,0,1,1,1,0
"Beyoğlu Tomtom Gardens'da geniş plana sahip , çok aydınlık kiralık 1+1 daire",55000,0,Beyoğlu,Tomtom Mah.,Daire,2,1,1.0,5.0,8,Merkezi,0,Betonarme,İkinci El,3850,55000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-tomtom-kiralik/daire/44443-673,65,60,0,46264.72451790634,46272.72727272727,6,1,0,2,0,1,0,0,0
çelik yapı Gayrimenkul'den Çekmeköy'de 2+1 kiralık daire,22000,0,Çekmeköy,Soğukpınar Mah.,Daire,3,1,3.0,4.0,3,Kombi,0,Betonarme,Sıfır,200,22000,Doğalgaz,https://www.hepsiemlak.com/istanbul-cekmekoy-sogukpinar-kiralik/daire/123112-319,90,80,0,42188.88888888889,20500.0,5,1,0,1,1,1,1,1,0
KADIKÖY ERENKÖY MAH. KİRALIK 3+1 DAİRE,78000,0,Kadıköy,Erenköy Mah.,Daire,4,2,5.0,9.0,0,Kombi,0,Betonarme,Sıfır,5460,156000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/120039-295,131,103,0,66851.20439560439,74125.0,5,1,0,1,0,0,0,0,1
AVCILAR CİHANGİR MAHALLESİ'NDE 2+1 KİRALIK DAİRE,22000,0,Avcılar,Cihangir Mah.,Daire,3,1,2.0,4.0,30,Kombi,0,Betonarme,İkinci El,1540,44000,Doğalgaz,https://www.hepsiemlak.com/istanbul-avcilar-cihangir-kiralik/daire/145309-460,100,90,0,25707.175925925927,37173.76190476191,5,1,0,2,0,1,0,0,0
2846 RENGARENKTEN BEYOĞLU SURURİ KERAMET SOKAKTA KİRALIK DAİRE,25000,0,Beyoğlu,Sururi Mehmet Efendi Mah.,Daire,3,1,1.0,4.0,35,Kombi,0,Betonarme,İkinci El,1750,25000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-sururi-mehmet-efendi-kiralik/daire/91167-989,80,75,0,46264.72451790634,21500.0,5,1,0,2,0,1,1,0,0
Dikilitas darphane yeni doğan sk'ta 130 m2 3+1 full mobilyali valizinizi alin gelin,50000,0,Beşiktaş,Dikilitaş Mah.,Daire,4,1,0.0,5.0,10,Kombi,1,Betonarme,İkinci El,600,100000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/3147-3122,150,130,0,145577.30544993663,66601.35135135135,5,1,0,2,1,1,1,1,0
Bebek Beckyard Karşısı 3+1 Eşyalı Kiralık Daire,105000,0,Beşiktaş,Bebek Mah.,Daire,4,2,6.0,5.0,31,Kombi,1,Betonarme,İkinci El,7350,157500,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/34401-11997,135,110,0,145577.30544993663,189183.94736842104,5,1,0,2,1,0,1,0,0
